Job Title,Company,Location,Posted Date,Job URL,Description
Senior Director - Enterprise Strategy and Transformation,Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4332772868/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=bVUhN8VRG11MiMmUFiW%2BCQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

Enterprise Strategy & Transformation (ES&T), RBC’s cross-enterprise internal consulting and corporate strategy team, is organized under the RBC Chief Legal, Administrative & Strategy Officer. The ES&T team serves as thought partners to senior executives, offering targeted support for the highest priority and most complex strategic problems, and helps to develop and articulate RBC’s enterprise strategy and line of business strategies. The team also acts as a catalyst for enterprise transformation, cross-platform collaboration, and new capability development, and drives RBC’s strategic agenda across the Board, CEO, and Group Executive level. ES&T offers a dynamic, fast-paced, and exciting environment with unique exposure to distinct parts of bank. Working within a high-performance area of the bank, the team provides opportunities for skill development, career advancement, and the chance to work on the bank’s most ambitious initiatives.













We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.





Adaptability, Commercial Acumen, Creative Visioning, Decision Making, Long Term Planning, Managerial Courage, Organizational Leadership, Organizational Savvy and Politics, Strategic Thinking





BAY WELLINGTON TOWER, 181 BAY ST:TORONTO



Toronto



Canada



37.5



Full time



CHIEF LEGAL & ADMIN OFFICE GRP



Regular



Salaried



2025-10-28



2025-11-12





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Director, US Region Corporate Security (Global Security)",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4311168668/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=SRBH0Qa8pm8h6gd0%2FHJ2Fw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity? 

Physical safety and security are essential to the protection of RBC employees, clients, assets, operations and facilities from a wide range of threats, and it is necessary to minimize the negative business impact and interruption of these threats in order for RBC to achieve its business objectives. The Director, US Region Corporate Security is responsible for providing vision and strategic direction and is accountable for the strategy development and operations of the physical security and protection program in the US and Caribbean Regions. The Director is responsible for the US and Caribbean Region strategic plan and execution of the physical security and protection strategy.































We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $160,000-$250,000, depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC's discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC's compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Event Security, Event Security Management, Executive Protection, Executive Relationships, Executive Security, Physical Security, Security System, Team Administration, Team Management, Vendor Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



TECHNOLOGY AND OPERATIONS



Regular



Salaried



2025-10-06



2025-11-14





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Investment Grade Credit Desk Strategist - US Corporates",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4280442573/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=UYQMg3ffKeNVo2%2FRktOgGQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

Job Description

Investment Grade Credit Desk Strategist - US Corporates



Responsible for credit sector analysis of US Financials Corporates. Primary objectives are to ensure timely and relevant intelligence is provided to the sales and trading team and to our clients.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $225,000, depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-08-05







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
Associate Director - Payments Risk Advisory and Oversight Manager,Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4298707139/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=03Htf7T63e6G%2FNyc3a6pXA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the Opportunity?

The Payments Risk Advisory and Oversight Manager will support key elements of the Payments Program to execute a robust CUSO Payments Risk Management Program, to ensure policy and standard requirements are adhered by all Segments within CUSO. This role will execute effective oversight and

challenge over the business/First Line of Defense (1LOD) and help support the development of the Payments Risk Profile, by platform, by legal entity.

The role will be instrumental in ensuring program effectiveness by providing education, collaborating across teams, and promoting Payments awareness across the organization to ensure overall organizational resiliency.















We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $110,000-$190,000 (New Jersey), depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:



– POST



Business Process Design, Decision Making, Financial Risk Management (FRM), Operational Risks, Risk Control, Risk Management, Teamwork





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



GROUP RISK MANAGEMENT



Regular



Salaried



2025-09-09



2025-12-06





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Director, Sourcing Execution",Royal Bank of Canada,"Charlotte, NC",N/A,https://www.linkedin.com/jobs/view/4317347070/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=jkBdjHmYg3102bfcSgJe4w%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity? 

As Director, Sourcing Execution, Commercial Banking, you will be responsible for the development of sourcing and savings/cost avoidance strategies while ensuring a sustainable supply chain to support RBC businesses, and optimizing total value generated from RBC’s supplier base. This role executes and manages procurement needs by building a vision and road map to diagnose our client requirements and supplier capabilities. The Director, Sourcing Execution leads a team of sourcing practitioners in negotiating non-complex (low risk) and complex (high value/high risk) deals. This role is essential in strengthening relationships with business unit clients and suppliers as well as ensuring solutions are developed and delivered on time and against operational and financial business targets











:





We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.





Contract Management, Decision Making, Interpersonal Relationship Management, Long Term Planning, Negotiation, Reviewing Contracts, Sourcing and Procurement, Supplier Evaluations, Waterfall Model





BAY WELLINGTON TOWER, 181 BAY ST:TORONTO



Toronto



Canada



37.5



Full time



CHIEF LEGAL & ADMIN OFFICE GRP



Regular



Salaried



2025-10-20



2025-11-04





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, ACH Payments Product Manager",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4277639121/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=ZviTbiIjb%2Bb0g1PvuTB8Iw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

Acts as the representative of stakeholders to manage product backlogs and review sprints outcomes to ensure the business success of scrum software development projects. Applies extensive, in-depth knowledge, skills, and practices to perform complex assignments.





The Sr ACH Payment Product Manager within RBC Capital Markets US Cash Management team will be responsible for supporting the end to end ACH payment product development life cycle, including working with the product leadership to establish product vision, strategy and roadmap. Sr. ACH Product Manager is also responsible for defining, prioritizing and implementing ACH payment capabilities across all end to end product disciplines within RBC Clear to deliver client backed digital first solutions. The Sr. product manager will operate with the agile delivery approach and work collaboratively with squads/teams across engineering, operations, sales, legal, compliance, risk and strategic vendors deliver innovative and best in class outcome.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The good-faith expected salary range for the above position is $150,000-$200,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. This salary range does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Agile Product Development, Automated Clearing House (ACH) Payments, Communication, Customer Service, Customer Success, Decision Making, Digital Payments, Group Problem Solving, Leadership, Long Term Planning, Payment Handling, Payment Operations, Payment Services, Payments Industry, Teamwork, Time Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-07-24







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Global Investment Banking, Communications, Media, and Entertainment",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4279685124/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=tuor6ScxeY%2FIc9LyvYSeSA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

To join the Communications, Media & Entertainment Group as a Vice President.





We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging, and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-08-04







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Investment Banking",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4277633974/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=qT2HqtUobZMKWVkp7JJCKA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

Job Description

RBC Capital Markets seeks a Vice President, Investment Banking in New York, NY to

develop detailed financial models (including restructuring, financing, and Mergers & Acquisitions (M&A) models). Complete asset level due diligence on buyer/seller portfolio. Participate and/or conduct due diligence sessions with companies. Work with Analysts to develop financial models and pitch book materials, conduct company research, and analyze data to help advise current or prospective corporate clients on actual or prospective M&A transactions and corporate finance offerings. Execute capital markets transactions, including review of legal documents, completing Know Your Client, performing company-level due diligence, and preparing committee memos. Requirements: Bachelor's degree in Finance, Economics, or a closely related field, and 5 years of progressively responsible experience in the job offered or related experience in investment banking. Alternatively, employer will accept a Master's degree in Finance, Economics, or a closely related field, and 5 years of experience in the job offered or related experience in investment banking. Experience must include: Capital markets; spreadsheet modeling utilizing Microsoft Excel, including analysis at various prices, discounted cash flow analysis, ability to pay analysis, accretion/dilution, and leveraged buyout analysis; managing all aspects of transaction processes, including preparation of pitches, financial analyses, valuations, and marketing materials as well as conducting due diligence, managing day-to-day communication with client and counter-party; presenting analyses and deliverables in both internal and external meetings; transactional experience in both buy-side and sell-side mandates with public companies as well as fairness opinion assignments. Must also possess 1 year of experience mentoring and staffing junior members of a team.

The wage for this job is $275,000. This salary does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:









BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



Capital Markets



Regular



Salaried



2024-04-25





At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
VP Business Risk - In-Business Regulatory Risk Management,Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4277641055/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=vGMI3ooll5CjZK3VQML52Q%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What will you do?

Represent business risk and product to support U.S and enterprise-wide regulatory or governance programs, coordinating feedback from the business and ensuring execution.








We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $125,000-$160,000 , depending on your experience, skills, and registration status, market conditions and business needs. You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Auditing, Audits Compliance, Data Gathering Analysis, Decision Making, Ethical Business, Fraud Management, Internal Controls, Interpersonal Relationship Management, Results-Oriented, Risk Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-05-01







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President/Director, Corporate Banking - Power, Utilities & Infrastructure",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4306253674/?eBP=NON_CHARGEABLE_CHANNEL&refId=McT9GRHFroFsb9Lmn6i58g%3D%3D&trackingId=WMCOYkN%2BixMIUYj9Ld7xrQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

We are seeking a highly skilled and motivated Vice President or Director to join our Corporate Banking team, specializing in the Power, Utilities, and Infrastructure (PU&I) sectors in the U.S. This role will focus on client coverage, structuring and executing bank debt transactions, and managing a portfolio of clients in the PU&I industry group.



As the Vice President or Director, you will:























To succeed in this role, you will need:





We are committed to fostering a dynamic, collaborative, and high-performing work environment where you can thrive and make a lasting impact. By joining our team, you will benefit from:





The expected salary range for this position is $225,000 - $300,000, based on factors such as experience, skills, registration status, market conditions, and business needs. This salary range does not include other elements of total compensation, such as:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-05-27







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
